Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0009772382103051564,-1.1218264778514193,1.0,0.0,1.1218264778514193,1.0
ENSG00000237491,LINC01409,0.006352048366983517,0.10056594348502657,1.0,0.0031986735193032163,-0.10056594348502657,1.0
ENSG00000228794,LINC01128,0.007817905682441251,-0.20428863804339414,1.0,0.0063973470386064326,0.20428863804339414,1.0
ENSG00000225880,LINC00115,0.0009772382103051564,-2.7067889785725763,1.0,0.0063973470386064326,2.7067889785725763,1.0
ENSG00000230368,FAM41C,0.0014658573154577347,-0.7067889785725754,1.0,0.0,0.7067889785725754,1.0
ENSG00000223764,LINC02593,0.007817905682441251,-1.2042886380433941,1.0,0.01599336759651608,1.2042886380433941,1.0
ENSG00000187634,SAMD11,0.011238239418509299,-0.7067889785725772,1.0,0.01599336759651608,0.7067889785725772,1.0
ENSG00000188976,NOC2L,0.0649863409852929,-0.6406997881148047,1.0,0.0991588790983997,0.6406997881148047,1.0
ENSG00000187961,KLHL17,0.028339908098849537,-0.6315008512683393,1.0,0.04158275575094181,0.6315008512683393,1.0
ENSG00000187583,PLEKHN1,0.0004886191051525782,-3.2917514792937324,1.0,0.0063973470386064326,3.2917514792937324,1.0
ENSG00000272512,AL645608.7,0.0034203337360680475,-0.7067889785725772,1.0,0.0031986735193032163,0.7067889785725772,1.0
ENSG00000188290,HES4,0.04983914872556298,-0.5438504074463717,1.0,0.07037081742467076,0.5438504074463717,1.0
ENSG00000187608,ISG15,0.1187344425520765,-0.20231639571178883,1.0,0.13434428781073507,0.20231639571178883,1.0
ENSG00000188157,AGRN,0.021010621521560864,0.4307145451773584,1.0,0.012794694077212865,-0.4307145451773584,1.0
ENSG00000131591,C1orf159,0.020522002416408284,-0.28052422387047926,1.0,0.022390714635122513,0.28052422387047926,1.0
ENSG00000272141,AL390719.2,0.004397571946373204,-0.38486088368521454,1.0,0.0031986735193032163,0.38486088368521454,1.0
ENSG00000162571,TTLL10,0.0014658573154577347,-0.7067889785725754,1.0,0.0,0.7067889785725754,1.0
ENSG00000186891,TNFRSF18,0.036157813781290786,0.06259809328600685,1.0,0.03198673519303216,-0.06259809328600685,1.0
ENSG00000186827,TNFRSF4,0.05814567351315681,-0.4437545727387828,1.0,0.0767681644632772,0.4437545727387828,1.0
ENSG00000078808,SDF4,0.12068891897268683,-0.39644885796042617,1.0,0.15673500244585759,0.39644885796042617,1.0
ENSG00000176022,B3GALT6,0.021010621521560864,-0.05471228199288358,1.0,0.0191920411158193,0.05471228199288358,1.0
ENSG00000184163,C1QTNF12,0.01074962031335672,-0.7681895232367202,1.0,0.01599336759651608,0.7681895232367202,1.0
ENSG00000160087,UBE2J2,0.06987253203681869,-0.2917514792937328,1.0,0.08316551150188362,0.2917514792937328,1.0
ENSG00000162572,SCNN1D,0.016124430470035082,-0.20428863804339414,1.0,0.01599336759651608,0.20428863804339414,1.0
ENSG00000131584,ACAP3,0.0649863409852929,-0.5948960985016796,1.0,0.09596020557909649,0.5948960985016796,1.0
ENSG00000169972,PUSL1,0.017590287785492816,0.18073629216901121,1.0,0.012794694077212865,-0.18073629216901121,1.0
ENSG00000127054,INTS11,0.09821244013566822,-0.17786051276574888,1.0,0.10875489965630936,0.17786051276574888,1.0
ENSG00000224051,CPTP,0.02736266988854438,0.8041729407048033,1.0,0.012794694077212865,-0.8041729407048033,1.0
ENSG00000169962,TAS1R3,0.0014658573154577347,-0.7067889785725754,1.0,0.0,0.7067889785725754,1.0
ENSG00000107404,DVL1,0.03957814751735884,-0.5191619753968055,1.0,0.05437744982815468,0.5191619753968055,1.0
ENSG00000162576,MXRA8,0.103098631187194,-0.0663313652597175,1.0,0.10555622613700613,0.0663313652597175,1.0
ENSG00000175756,AURKAIP1,0.1255751100242126,-0.21912367920633624,1.0,0.14394030836864474,0.21912367920633624,1.0
ENSG00000221978,CCNL2,0.2267192647907963,-0.3692640286341964,1.0,0.2910792902565927,0.3692640286341964,1.0
ENSG00000224870,MRPL20-AS1,0.014169954049424768,0.6151391163147855,1.0,0.0063973470386064326,-0.6151391163147855,1.0
ENSG00000242485,MRPL20,0.1099392986593301,0.025927142592271135,1.0,0.10555622613700613,-0.025927142592271135,1.0
ENSG00000272455,AL391244.2,0.0009772382103051564,-2.12182647785142,1.0,0.0031986735193032163,2.12182647785142,1.0
ENSG00000235098,ANKRD65,0.017590287785492816,-0.3046905350012308,1.0,0.0191920411158193,0.3046905350012308,1.0
ENSG00000179403,VWA1,0.07524734219349705,0.2474073318142982,1.0,0.060774796866761106,-0.2474073318142982,1.0
ENSG00000215915,ATAD3C,0.01074962031335672,-0.1832270225155641,1.0,0.00959602055790965,0.1832270225155641,1.0
ENSG00000160072,ATAD3B,0.0830652478759383,0.12610103559216457,1.0,0.07356949094397397,-0.12610103559216457,1.0
ENSG00000197785,ATAD3A,0.04299848125342688,-0.6233729703849398,1.0,0.06397347038606432,0.6233729703849398,1.0
ENSG00000205090,TMEM240,0.0014658573154577347,-1.7067889785725763,1.0,0.0031986735193032163,1.7067889785725763,1.0
ENSG00000160075,SSU72,0.18274354532706424,-0.17841000621778846,1.0,0.20471510523540584,0.17841000621778846,1.0
ENSG00000228594,FNDC10,0.011238239418509299,-0.4437545727387828,1.0,0.012794694077212865,0.4437545727387828,1.0
ENSG00000272106,AL691432.2,0.008795143892746408,-0.45886146512899195,1.0,0.00959602055790965,0.45886146512899195,1.0
ENSG00000197530,MIB2,0.06449772188014033,0.5411385348710089,1.0,0.04158275575094181,-0.5411385348710089,1.0
ENSG00000189409,MMP23B,0.04788467230495266,0.11521271944942857,1.0,0.04158275575094181,-0.11521271944942857,1.0
ENSG00000248333,CDK11B,0.005863429261830939,-0.5913117611526406,1.0,0.0063973470386064326,0.5913117611526406,1.0
ENSG00000272004,FO704657.1,0.0014658573154577347,-0.7067889785725754,1.0,0.0,0.7067889785725754,1.0
ENSG00000189339,SLC35E2B,0.04837329141010525,0.3521047104809911,1.0,0.03518540871233538,-0.3521047104809911,1.0
ENSG00000008128,CDK11A,0.018078906890645393,1.541138534871008,1.0,0.0031986735193032163,-1.541138534871008,1.0
ENSG00000215790,SLC35E2A,0.04348710035857946,-0.022290804300506117,1.0,0.04158275575094181,0.022290804300506117,1.0
ENSG00000008130,NADK,0.08453110519139603,-0.018732984887317006,1.0,0.08316551150188362,0.018732984887317006,1.0
ENSG00000078369,GNB1,0.2579908875205613,0.11151624304556784,1.0,0.236701840428438,-0.11151624304556784,1.0
ENSG00000169885,CALML6,0.0019544764206103128,-0.38486088368521365,1.0,0.0,0.38486088368521365,1.0
ENSG00000178821,TMEM52,0.0009772382103051564,-1.1218264778514193,1.0,0.0,1.1218264778514193,1.0
ENSG00000187730,GABRD,0.0014658573154577347,-0.7067889785725754,1.0,0.0,0.7067889785725754,1.0
ENSG00000067606,PRKCZ,0.040066766622511414,-0.5796770606692379,1.0,0.05757612334745789,0.5796770606692379,1.0
ENSG00000162585,FAAP20,0.16515325754157145,-0.18429056479807437,1.0,0.18552306411958655,0.18429056479807437,1.0
ENSG00000157933,SKI,0.05814567351315681,0.6151391163147855,1.0,0.03518540871233538,-0.6151391163147855,1.0
ENSG00000287356,AL590822.3,0.0019544764206103128,-0.38486088368521365,1.0,0.0,0.38486088368521365,1.0
ENSG00000116151,MORN1,0.0029317146309154694,-1.4843965572361286,1.0,0.0063973470386064326,1.4843965572361286,1.0
ENSG00000272420,AL513477.2,0.0004886191051525782,-2.7067889785725763,1.0,0.0031986735193032163,2.7067889785725763,1.0
