Feature,Normalized.Dispersion
ENSG00000238009,nan
ENSG00000237491,-0.7137030037454462
ENSG00000228794,-0.6504114366673632
ENSG00000225880,1.1729377589454422
ENSG00000230368,-1.0149191016218801
ENSG00000223764,2.0571336204722184
ENSG00000187634,4.02291449212228
ENSG00000188976,2.6231542005167863
ENSG00000187961,4.625678908468927
ENSG00000187583,4.856984092726391
ENSG00000272512,-0.328792889900898
ENSG00000188290,3.1042952859159936
ENSG00000187608,1.0021138429272967
ENSG00000188157,-0.4422810783215993
ENSG00000131591,-0.04566880574816872
ENSG00000272141,0.41651905415612234
ENSG00000162571,-5.466011888075632
ENSG00000186891,-0.2675475156314126
ENSG00000186827,0.3923172678208444
ENSG00000078808,0.31300302505745664
ENSG00000176022,1.3392409413055046
ENSG00000184163,1.0796152996153203
ENSG00000160087,-0.7275664282017508
ENSG00000162572,-0.6625434843387993
ENSG00000131584,0.7395345028582525
ENSG00000169972,-1.4741499292565687
ENSG00000127054,-0.4666149746307069
ENSG00000224051,-0.617242640511128
ENSG00000169962,0.04678500465187135
ENSG00000107404,2.4620793158828995
ENSG00000162576,-0.8226390139621784
ENSG00000175756,0.4513765833204104
ENSG00000221978,2.134167778880951
ENSG00000224870,-1.1975159253393575
ENSG00000242485,0.03440479118613036
ENSG00000272455,5.178878164478605
ENSG00000235098,-0.6695662820338326
ENSG00000179403,-0.12902213199553747
ENSG00000215915,-0.09056018375308188
ENSG00000160072,0.40714537013038904
ENSG00000197785,3.7109657356100296
ENSG00000205090,2.896808760682644
ENSG00000160075,0.6570163666933891
ENSG00000228594,-0.13404799270308923
ENSG00000272106,-0.6013466875397923
ENSG00000197530,-0.5484109378437703
ENSG00000189409,3.223335429415281
ENSG00000248333,0.21886866805973562
ENSG00000272004,-4.244769310918504
ENSG00000189339,-2.1293553688066167
ENSG00000008128,-1.8713422474724155
ENSG00000215790,1.6528338920403325
ENSG00000008130,1.2983129735242684
ENSG00000078369,1.0739991184955484
ENSG00000169885,-0.21870816318974468
ENSG00000178821,nan
ENSG00000187730,-0.2442699827721834
ENSG00000067606,1.28985974355884
ENSG00000162585,4.2961259147010225
ENSG00000157933,-1.8097602317510493
ENSG00000287356,-1.1581598236829749
ENSG00000116151,0.3507088061864814
ENSG00000272420,nan
ENSG00000157916,-1.7845059829572003
ENSG00000157911,-1.1431649757675648
ENSG00000149527,-0.4485727435259299
ENSG00000224387,nan
ENSG00000157881,0.8629782782063127
ENSG00000197921,nan
ENSG00000272449,0.24778365593328905
ENSG00000238164,1.134893082638171
ENSG00000157873,0.8345283267399276
ENSG00000228037,-0.2099551795099904
ENSG00000157870,-0.585613308862044
ENSG00000142606,-0.7033022340785545
ENSG00000215912,-6.04154748416724
ENSG00000177133,nan
ENSG00000142611,-0.8401189590037409
ENSG00000130762,-0.4025673368973433
ENSG00000162591,1.0224074043135167
ENSG00000158109,-1.541749887495139
ENSG00000116213,-1.2191699117389554
ENSG00000078900,-3.4964236349435938
ENSG00000235169,-0.31983508897472346
ENSG00000130764,-0.21607077271171166
ENSG00000116198,0.40103081816415415
ENSG00000169598,1.9713190263853733
ENSG00000198912,-1.0480153609783693
ENSG00000196581,nan
ENSG00000236948,nan
ENSG00000131697,-0.8788396344983458
ENSG00000069424,2.8268516858156927
ENSG00000116251,-1.4151051743640624
ENSG00000158286,-1.6663192540812293
ENSG00000116237,1.077282232517594
ENSG00000225077,9.37894789818445
ENSG00000158292,1.9436371644399868
ENSG00000097021,-1.5478250750286053
ENSG00000271746,nan
ENSG00000069812,nan
ENSG00000187017,-0.563004023108538
ENSG00000215788,-1.0004166330495838
ENSG00000171680,-1.2329334137938743
ENSG00000162408,1.0843776050885616
ENSG00000173662,1.2035895752587404
ENSG00000204859,-1.1075134650989518
ENSG00000162413,0.37043082816917167
ENSG00000116273,-0.9096226739433142
ENSG00000041988,7.862136338946179
ENSG00000007923,-0.6101437768116126
ENSG00000237436,nan
ENSG00000171735,1.0920954292157516
ENSG00000049245,-1.894185689369119
ENSG00000049246,2.495379323254374
ENSG00000049247,nan
ENSG00000049249,0.016023435385565252
ENSG00000116288,-1.337194826754644
ENSG00000284747,-1.0841026259817894
