PC,Proportion.Variance.Explained
1,0.0035117634366830346
2,0.0018267610356850698
3,0.001420562339378839
4,0.0013716222239975144
5,0.0013637447645770628
6,0.0013628808606814308
7,0.0013537842509216875
8,0.0013495870780724432
9,0.0013475800114571954
10,0.001342879793526765
