Feature
1,ENSG00000249426
2,ENSG00000272909
3,ENSG00000186897
4,ENSG00000260361
5,ENSG00000234284
6,ENSG00000203288
7,ENSG00000106069
8,ENSG00000182132
9,ENSG00000263011
10,ENSG00000287828
11,ENSG00000286153
12,ENSG00000287549
13,ENSG00000231290
14,ENSG00000277210
15,ENSG00000267007
16,ENSG00000283413
17,ENSG00000249379
18,ENSG00000265975
19,ENSG00000205930
20,ENSG00000153233
21,ENSG00000179397
22,ENSG00000245146
23,ENSG00000221571
24,ENSG00000198205
25,ENSG00000173212
26,ENSG00000260052
27,ENSG00000267165
28,ENSG00000260604
29,ENSG00000132554
30,ENSG00000260855
31,ENSG00000178934
32,ENSG00000273821
33,ENSG00000258504
34,ENSG00000244151
35,ENSG00000257817
36,ENSG00000262791
37,ENSG00000276101
38,ENSG00000273004
39,ENSG00000258137
40,ENSG00000277246
41,ENSG00000267439
42,ENSG00000182257
43,ENSG00000253846
44,ENSG00000153060
45,ENSG00000169629
46,ENSG00000278847
47,ENSG00000236975
48,ENSG00000204613
49,ENSG00000238058
50,ENSG00000160973
51,ENSG00000174950
52,ENSG00000224063
53,ENSG00000225647
54,ENSG00000259985
55,ENSG00000286059
56,ENSG00000227848
57,ENSG00000142178
58,ENSG00000228697
59,ENSG00000285722
60,ENSG00000205571
61,ENSG00000140932
62,ENSG00000183668
63,ENSG00000062096
64,ENSG00000225765
65,ENSG00000256124
66,ENSG00000273301
67,ENSG00000186496
68,ENSG00000225656
69,ENSG00000261777
70,ENSG00000248319
71,ENSG00000275560
72,ENSG00000006128
73,ENSG00000158764
74,ENSG00000248809
75,ENSG00000269910
76,ENSG00000135436
77,ENSG00000278192
78,ENSG00000141314
79,ENSG00000285278
80,ENSG00000217442
81,ENSG00000229588
82,ENSG00000237988
83,ENSG00000170748
84,ENSG00000224596
85,ENSG00000118997
86,ENSG00000185615
87,ENSG00000232648
88,ENSG00000257222
89,ENSG00000225548
90,ENSG00000225643
91,ENSG00000184378
92,ENSG00000236200
93,ENSG00000248858
94,ENSG00000185156
95,ENSG00000204850
96,ENSG00000256045
97,ENSG00000184110
98,ENSG00000182450
99,ENSG00000111012
100,ENSG00000224945
101,ENSG00000281468
102,ENSG00000277075
103,ENSG00000160200
104,ENSG00000186919
105,ENSG00000272024
106,ENSG00000273011
107,ENSG00000132031
108,ENSG00000256751
109,ENSG00000256020
110,ENSG00000204923
111,ENSG00000197177
112,ENSG00000255114
113,ENSG00000166159
114,ENSG00000273213
115,ENSG00000254452
116,ENSG00000277559
117,ENSG00000253873
118,ENSG00000163492
119,ENSG00000143839
120,ENSG00000162738
121,ENSG00000213782
122,ENSG00000249604
123,ENSG00000287709
124,ENSG00000275710
125,ENSG00000273456
126,ENSG00000273311
127,ENSG00000221932
128,ENSG00000159224
129,ENSG00000223776
130,ENSG00000258651
131,ENSG00000134548
132,ENSG00000288093
133,ENSG00000286451
134,ENSG00000188316
135,ENSG00000255226
136,ENSG00000259439
137,ENSG00000244474
138,ENSG00000189350
139,ENSG00000087494
140,ENSG00000284526
141,ENSG00000269949
142,ENSG00000188011
143,ENSG00000181449
144,ENSG00000100033
145,ENSG00000184672
146,ENSG00000186638
147,ENSG00000263508
148,ENSG00000100427
149,ENSG00000126814
150,ENSG00000260465
151,ENSG00000167646
152,ENSG00000283154
153,ENSG00000197168
154,ENSG00000236841
155,ENSG00000243150
156,ENSG00000262903
157,ENSG00000007306
158,ENSG00000174460
159,ENSG00000135222
160,ENSG00000280870
161,ENSG00000272690
162,ENSG00000178966
163,ENSG00000053108
164,ENSG00000255462
165,ENSG00000184828
166,ENSG00000215262
167,ENSG00000205208
168,ENSG00000264577
169,ENSG00000263276
170,ENSG00000152669
171,ENSG00000272568
172,ENSG00000230102
173,ENSG00000270016
174,ENSG00000261071
175,ENSG00000247240
176,ENSG00000259649
177,ENSG00000277050
178,ENSG00000165807
179,ENSG00000275719
180,ENSG00000288096
181,ENSG00000274139
182,ENSG00000232912
183,ENSG00000287929
184,ENSG00000127903
185,ENSG00000119946
186,ENSG00000196873
187,ENSG00000131183
188,ENSG00000277543
189,ENSG00000272189
190,ENSG00000267328
191,ENSG00000256812
192,ENSG00000119661
193,ENSG00000186198
194,ENSG00000256268
195,ENSG00000285907
196,ENSG00000183853
197,ENSG00000273055
198,ENSG00000163624
199,ENSG00000185837
200,ENSG00000232710
201,ENSG00000265401
202,ENSG00000248015
203,ENSG00000234678
204,ENSG00000229278
205,ENSG00000234028
206,ENSG00000227496
207,ENSG00000257591
208,ENSG00000249222
209,ENSG00000215424
210,ENSG00000198743
211,ENSG00000168356
212,ENSG00000116035
213,ENSG00000189079
214,ENSG00000274251
215,ENSG00000213588
216,ENSG00000272040
217,ENSG00000197841
218,ENSG00000203727
219,ENSG00000283422
220,ENSG00000276593
221,ENSG00000165118
222,ENSG00000187566
223,ENSG00000169856
224,ENSG00000287222
225,ENSG00000203721
226,ENSG00000259349
227,ENSG00000256453
228,ENSG00000229539
229,ENSG00000260257
230,ENSG00000118094
231,ENSG00000284730
232,ENSG00000225527
233,ENSG00000085831
234,ENSG00000184068
235,ENSG00000103489
236,ENSG00000253958
237,ENSG00000069764
238,ENSG00000172738
239,ENSG00000132692
240,ENSG00000262801
241,ENSG00000264456
242,ENSG00000261889
243,ENSG00000258472
244,ENSG00000157343
245,ENSG00000268996
246,ENSG00000156345
247,ENSG00000231210
248,ENSG00000163467
249,ENSG00000251095
250,ENSG00000198695
251,ENSG00000263684
252,ENSG00000260276
253,ENSG00000259291
254,ENSG00000189144
255,ENSG00000184363
256,ENSG00000168301
257,ENSG00000260805
258,ENSG00000165506
259,ENSG00000273017
260,ENSG00000108786
261,ENSG00000260653
262,ENSG00000241316
263,ENSG00000241860
264,ENSG00000170786
265,ENSG00000267838
266,ENSG00000197557
267,ENSG00000130363
268,ENSG00000236924
269,ENSG00000185442
270,ENSG00000244731
271,ENSG00000261971
272,ENSG00000111665
273,ENSG00000227036
274,ENSG00000112357
275,ENSG00000197647
276,ENSG00000163888
277,ENSG00000188542
278,ENSG00000171132
279,ENSG00000091428
280,ENSG00000170448
281,ENSG00000184792
282,ENSG00000175426
283,ENSG00000279949
284,ENSG00000224870
285,ENSG00000067445
286,ENSG00000184454
287,ENSG00000286523
288,ENSG00000278266
289,ENSG00000101928
290,ENSG00000186523
291,ENSG00000213512
292,ENSG00000213096
293,ENSG00000225756
294,ENSG00000253196
295,ENSG00000230943
296,ENSG00000278615
297,ENSG00000174576
298,ENSG00000006047
299,ENSG00000181240
300,ENSG00000149679
301,ENSG00000205885
302,ENSG00000142606
303,ENSG00000237436
304,ENSG00000160963
305,ENSG00000051596
306,ENSG00000152409
307,ENSG00000139998
308,ENSG00000258365
309,ENSG00000253598
310,ENSG00000135407
311,ENSG00000136824
312,ENSG00000177868
313,ENSG00000268364
314,ENSG00000249364
315,ENSG00000263293
316,ENSG00000186648
317,ENSG00000197714
318,ENSG00000287382
319,ENSG00000188611
320,ENSG00000266998
321,ENSG00000167157
322,ENSG00000147459
323,ENSG00000169129
324,ENSG00000186603
325,ENSG00000204304
326,ENSG00000261051
327,ENSG00000188385
328,ENSG00000231187
329,ENSG00000250802
330,ENSG00000170584
331,ENSG00000186908
332,ENSG00000146904
333,ENSG00000188582
334,ENSG00000260400
335,ENSG00000268043
336,ENSG00000197272
337,ENSG00000218357
338,ENSG00000164619
339,ENSG00000188517
340,ENSG00000263105
341,ENSG00000272758
342,ENSG00000228150
343,ENSG00000272702
344,ENSG00000212916
345,ENSG00000139263
346,ENSG00000233396
347,ENSG00000167741
348,ENSG00000016402
349,ENSG00000280837
350,ENSG00000032389
351,ENSG00000008853
352,ENSG00000203999
353,ENSG00000219438
354,ENSG00000135378
355,ENSG00000146776
356,ENSG00000255746
357,ENSG00000170837
358,ENSG00000177508
359,ENSG00000169679
360,ENSG00000162627
361,ENSG00000106789
362,ENSG00000139350
363,ENSG00000196290
364,ENSG00000225792
365,ENSG00000179604
366,ENSG00000092421
367,ENSG00000270091
368,ENSG00000253356
369,ENSG00000140006
370,ENSG00000004139
371,ENSG00000198270
372,ENSG00000227906
373,ENSG00000149346
374,ENSG00000187736
375,ENSG00000168014
376,ENSG00000125462
377,ENSG00000225342
378,ENSG00000197889
379,ENSG00000262001
380,ENSG00000235560
381,ENSG00000072133
382,ENSG00000287742
383,ENSG00000274080
384,ENSG00000155034
385,ENSG00000229980
386,ENSG00000198019
387,ENSG00000173698
388,ENSG00000106328
389,ENSG00000114268
390,ENSG00000233922
391,ENSG00000138315
392,ENSG00000213759
393,ENSG00000233154
394,ENSG00000148053
395,ENSG00000204934
396,ENSG00000226352
397,ENSG00000080561
398,ENSG00000157895
399,ENSG00000233178
400,ENSG00000101222
401,ENSG00000158164
402,ENSG00000160219
403,ENSG00000136710
404,ENSG00000140835
405,ENSG00000120093
406,ENSG00000102547
407,ENSG00000164045
408,ENSG00000182379
409,ENSG00000160781
410,ENSG00000070950
411,ENSG00000105649
412,ENSG00000174358
413,ENSG00000096996
414,ENSG00000257497
415,ENSG00000154920
416,ENSG00000116141
417,ENSG00000287706
418,ENSG00000247675
419,ENSG00000138193
420,ENSG00000241635
421,ENSG00000197020
422,ENSG00000227345
423,ENSG00000119596
424,ENSG00000163249
425,ENSG00000270069
426,ENSG00000169427
427,ENSG00000129048
428,ENSG00000132170
429,ENSG00000122126
430,ENSG00000154222
431,ENSG00000188095
432,ENSG00000235357
433,ENSG00000266680
434,ENSG00000138380
435,ENSG00000270175
436,ENSG00000112379
437,ENSG00000248709
438,ENSG00000134864
439,ENSG00000258325
440,ENSG00000139160
441,ENSG00000216937
442,ENSG00000095066
443,ENSG00000107362
444,ENSG00000105784
445,ENSG00000081386
446,ENSG00000186047
447,ENSG00000167306
448,ENSG00000188352
449,ENSG00000267493
450,ENSG00000254858
451,ENSG00000276966
452,ENSG00000132801
453,ENSG00000179454
454,ENSG00000004766
455,ENSG00000272347
456,ENSG00000184445
457,ENSG00000187122
458,ENSG00000150656
459,ENSG00000168746
460,ENSG00000167550
461,ENSG00000171320
462,ENSG00000249087
463,ENSG00000139531
464,ENSG00000115020
465,ENSG00000255561
466,ENSG00000171497
467,ENSG00000132763
468,ENSG00000188295
469,ENSG00000166292
470,ENSG00000197496
471,ENSG00000112337
472,ENSG00000164181
473,ENSG00000239636
