Feature,Normalized.Dispersion
ENSG00000238009,nan
ENSG00000241860,-1.9481178801476227
ENSG00000286448,-0.6403390807634647
ENSG00000237491,-0.4545467970181266
ENSG00000177757,nan
ENSG00000228794,-1.5423457800991738
ENSG00000225880,-1.2238986393245164
ENSG00000230368,0.3172095459344168
ENSG00000223764,0.1974763756274974
ENSG00000187634,-0.5742817449268126
ENSG00000188976,4.759481549694936
ENSG00000187961,-0.6358299880950682
ENSG00000187583,2.1720047331635697
ENSG00000272512,-0.20283563690592146
ENSG00000188290,6.34302574187629
ENSG00000187608,10.54758622695191
ENSG00000188157,-0.4138765592782336
ENSG00000237330,nan
ENSG00000131591,0.7781912246810619
ENSG00000223823,nan
ENSG00000272141,-0.4043883411259373
ENSG00000162571,nan
ENSG00000186891,-1.550016194137918
ENSG00000186827,-0.1924634905651043
ENSG00000078808,15.190547465592564
ENSG00000176022,1.9061139326616736
ENSG00000184163,3.0592176615745896
ENSG00000160087,0.6000128712534069
ENSG00000162572,-1.5082698821134266
ENSG00000131584,-0.9671842968127985
ENSG00000169972,-1.0011758176661907
ENSG00000127054,-0.5630843327636667
ENSG00000240731,nan
ENSG00000224051,-0.34036614054778946
ENSG00000169962,1.2296326963969182
ENSG00000107404,-0.9692135502000924
ENSG00000162576,-0.49083740761437145
ENSG00000175756,82.95024378387873
ENSG00000221978,1.1009566224828589
ENSG00000224870,-1.9087402361962802
ENSG00000242485,-0.34898971733563683
ENSG00000272455,0.5843653198167454
ENSG00000235098,0.1965057322384975
ENSG00000225285,nan
ENSG00000179403,0.11705165826113086
ENSG00000215915,-1.0998544661210288
ENSG00000160072,-0.23730963097258376
ENSG00000197785,3.9818031607012503
ENSG00000205090,1.823545277257367
ENSG00000160075,7.021273002473052
ENSG00000228594,-0.6595323661775585
ENSG00000272106,-0.44924569884273174
ENSG00000197530,1.470329710528577
ENSG00000189409,0.22711671936218525
ENSG00000248333,0.1307646281970224
ENSG00000272004,1.4558275542403585
ENSG00000189339,-0.8934170280504863
ENSG00000008128,-0.5480390667803566
ENSG00000215790,1.1570383637097035
ENSG00000008130,4.188258594431278
ENSG00000078369,9.062629031188598
ENSG00000169885,0.44969096981857826
ENSG00000178821,-1.3189368220339976
ENSG00000142609,nan
ENSG00000233542,nan
ENSG00000187730,0.34511439632185553
ENSG00000067606,1.5839495033011135
ENSG00000271806,nan
ENSG00000182873,nan
ENSG00000162585,-1.2485991482072623
ENSG00000157933,-0.8810206050347893
ENSG00000287356,-0.2981012017583408
ENSG00000116151,-1.0474158181392104
ENSG00000272420,-1.099296679512683
ENSG00000157916,-0.8536864327106619
ENSG00000157911,-0.7273257829600602
ENSG00000149527,-1.1071171323345073
ENSG00000157881,-0.14260216355188235
ENSG00000197921,-0.9148032045184045
ENSG00000272449,0.8218248887285906
ENSG00000238164,-0.3404062764592277
ENSG00000157873,0.8697838880911816
ENSG00000228037,nan
ENSG00000157870,-0.41848558598497776
ENSG00000142606,-1.8695504147039663
ENSG00000215912,2.1245996433719663
ENSG00000177133,-1.2816409771225663
ENSG00000142611,-0.578392840801557
ENSG00000287828,-9.478170433646909
ENSG00000130762,-1.2810121719245515
ENSG00000272088,2.76159215789565
ENSG00000162591,1.4078001282357173
ENSG00000238260,nan
ENSG00000158109,-0.25745590163628035
ENSG00000116213,-0.258672328393222
ENSG00000078900,66.9247205597116
ENSG00000235169,-0.327980919133987
ENSG00000130764,-0.3813893857155975
ENSG00000116198,0.7024890988059181
ENSG00000169598,2.5095664181032715
ENSG00000198912,-1.0094244469987024
ENSG00000236423,-1.1209371928787242
ENSG00000196581,-0.059026937400165
ENSG00000131697,-0.4362413171112079
ENSG00000069424,1.9327831750476379
ENSG00000116251,-0.3449586831128562
ENSG00000226944,0.24437993426561908
ENSG00000158286,-0.2099783336026998
ENSG00000116237,14.513078051631316
ENSG00000225077,0.7124387413428718
ENSG00000158292,-1.2095655884728835
ENSG00000097021,2.7629786381244723
ENSG00000271746,1.3314828343427707
ENSG00000069812,-0.9209667966995816
ENSG00000187017,7.017605640657979
ENSG00000215788,-0.9708654253436126
ENSG00000171680,0.545128584219832
ENSG00000162408,-0.24265844815438276
ENSG00000204859,22.807026066499226
ENSG00000162413,2.508565240434007
