PC,Proportion.Variance.Explained
1,0.013432222106642307
2,0.0027006498969377106
3,0.001249114383187691
4,0.0010794047295819545
5,0.001039158024200775
6,0.0008616155954717811
7,0.0008174082528146705
8,0.0008015557351197482
9,0.0008002677151677337
10,0.000788422823425448
