Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0,-0.002333830408487003,1.0,0.0013900564719069174,0.941039205566879,1.0,0.0,1.0297230812785685,1.0
ENSG00000237491,LINC01409,0.008474291003955229,0.8456630761464634,1.0,0.004170169415720752,-1.0064933745389855,0.9747828337255402,0.009079815818896594,1.0297230812785694,1.0
ENSG00000228794,LINC01128,0.006779432803164184,-0.002333830408487003,1.0,0.009035367067394964,0.5784691261821706,1.0,0.0030266052729655316,-0.5552394194425867,1.0
ENSG00000225880,LINC00115,0.001694858200791046,0.5826286703126691,1.0,0.0013900564719069174,-0.6439232951542788,1.0,0.0030266052729655316,1.6146855819997263,1.0
ENSG00000230368,FAM41C,0.0,-0.4173713296873309,1.0,0.002085084707860376,1.356076704845723,1.0,0.0,0.6146855819997263,1.0
ENSG00000223764,LINC02593,0.010169149204746274,0.3899835923702737,1.0,0.008340338831441503,-0.26541167190054793,1.0,0.009079815818896594,0.36675806855614024,1.0
ENSG00000187634,SAMD11,0.013558865606328368,0.3602362489762214,1.0,0.012510508247162256,0.14457259965201086,1.0,0.006053210545931063,-0.5552394194425867,1.0
ENSG00000188976,NOC2L,0.09152234284271647,0.5695725174872237,1.0,0.06602768241557858,-0.18824381137808777,1.0,0.04539907909448297,-0.6141331084961554,0.9823509280838143
ENSG00000187961,KLHL17,0.03728688041740301,0.46233443659495777,1.0,0.027801129438138346,-0.28637129053619415,1.0,0.027239447456689783,-0.04066624661282958,1.0
ENSG00000187583,PLEKHN1,0.003389716401582092,2.167591171033825,1.0,0.0006950282359534587,-1.228885795875435,1.0,0.0,0.6146855819997263,1.0
ENSG00000272512,AL645608.7,0.005084574602373137,0.997666169591513,1.0,0.002085084707860376,-1.228885795875434,1.0,0.006053210545931063,1.392293160663277,1.0
ENSG00000188290,HES4,0.07118404443322393,0.6338539936678429,1.0,0.04309175062911444,-0.6439232951542775,0.7588409782133996,0.060532105459310634,0.29275748711236327,1.0
ENSG00000187608,ISG15,0.12880922326011948,0.13516969334144813,1.0,0.1160697154042276,-0.1464236356834605,1.0,0.12711742146455232,0.11021299913893712,1.0
ENSG00000188157,AGRN,0.022033156610283596,0.26070057542530733,1.0,0.02154587531455722,0.268613863595383,1.0,0.009079815818896594,-0.8771675143299493,1.0
ENSG00000131591,C1orf159,0.025422873011865688,0.4533456533677036,1.0,0.018070734134789927,-0.4739982937119649,1.0,0.024212842183724253,0.3922931606632769,1.0
ENSG00000272141,AL390719.2,0.006779432803164184,1.097201843142427,1.0,0.0034751411797672932,-0.643923295154277,1.0,0.0030266052729655316,0.2927574871123628,1.0
ENSG00000162571,TTLL10,0.0,-0.4173713296873309,1.0,0.0013900564719069174,-0.05896079443312097,1.0,0.0030266052729655316,2.0297230812785685,1.0
ENSG00000186891,TNFRSF18,0.03898173861819405,0.21339486064695112,1.0,0.03753152474148677,0.1832401079835071,1.0,0.021186236910758723,-0.6707166368625233,1.0
ENSG00000186827,TNFRSF4,0.07457376083480602,0.43062557686761993,1.0,0.05490723064032323,-0.34436301329536967,1.0,0.060532105459310634,0.05280669439161079,1.0
ENSG00000078808,SDF4,0.1627063872759404,0.5314898213208687,1.0,0.11398463069636722,-0.3328835164096513,0.9531483696249904,0.10895778982675913,-0.20376704894120934,1.0
ENSG00000176022,B3GALT6,0.02033829840949255,0.03514087501017649,1.0,0.020155818842650303,-0.12935012232451903,1.0,0.024212842183724253,0.3922931606632769,1.0
ENSG00000184163,C1QTNF12,0.010169149204746274,-0.06944802626702362,1.0,0.01042542353930188,-0.34436301329536967,1.0,0.01815963163779319,0.9626088854200319,1.0
ENSG00000160087,UBE2J2,0.08813262644113438,0.42790607551402715,1.0,0.06880779535939241,-0.1498142248842349,1.0,0.054478894913379566,-0.385314418000275,1.0
ENSG00000162572,SCNN1D,0.016948582007910457,0.1840792938223954,1.0,0.018765762370743386,0.5784691261821706,1.0,0.0030266052729655316,-1.6332419314438598,0.7606794531385144
ENSG00000131584,ACAP3,0.09660691744508962,0.6991426790390944,1.0,0.06046745652795091,-0.4512782172118821,0.9526688854200182,0.0575055001863451,-0.2432954131278473,1.0
ENSG00000169972,PUSL1,0.011864007405537322,-0.5048341709376691,1.0,0.020155818842650303,0.6780047997330847,0.9605642492417741,0.012106421091862126,-0.27283968874186204,1.0
ENSG00000127054,INTS11,0.1254195068585374,0.47159735792392565,1.0,0.10008406597729805,0.01242383880364395,1.0,0.05145228964041404,-0.9901764761591356,0.4257958312785627
ENSG00000224051,CPTP,0.016948582007910457,-0.6303650530215288,1.0,0.027801129438138346,0.32131128668504605,1.0,0.030266052729655317,0.4016918586655267,1.0
ENSG00000169962,TAS1R3,0.001694858200791046,0.997666169591513,1.0,0.0006950282359534587,-1.228885795875435,1.0,0.0030266052729655316,2.0297230812785685,1.0
ENSG00000107404,DVL1,0.050845746023731375,0.42830052392137574,1.0,0.03892158121339369,-0.23729803569163366,1.0,0.03631926327558638,-0.12781819570791075,1.0
ENSG00000162576,MXRA8,0.11186064125220903,0.16490208350618563,1.0,0.08270836007846158,-0.7143126230456756,0.2060924087281159,0.17856971110496636,0.9824173665002123,0.08853473314459616
ENSG00000175756,AURKAIP1,0.13050408146091053,0.047851926759729935,1.0,0.13275039306711062,0.13368428350927442,1.0,0.10290457928082808,-0.3274937636119324,1.0
ENSG00000221978,CCNL2,0.30507447614238825,0.5278857057182373,1.0,0.2168488096174791,-0.2846417857845456,0.9599681944353364,0.1906761321968285,-0.3307582543781864,1.0
ENSG00000224870,MRPL20-AS1,0.010169149204746274,-0.31045612577081894,1.0,0.013900564719069173,0.1634316269033267,1.0,0.015133026364827658,0.4447605805574133,1.0
ENSG00000242485,MRPL20,0.11355549945300007,0.08512901084185298,1.0,0.11189954598850685,0.08121686361513891,1.0,0.09079815818896594,-0.2703218957103437,1.0
ENSG00000272455,AL391244.2,0.003389716401582092,2.167591171033825,1.0,0.0006950282359534587,-1.228885795875435,1.0,0.0,0.6146855819997263,1.0
ENSG00000235098,ANKRD65,0.02033829840949255,0.3288720780668868,1.0,0.017375705898836465,-0.11340857845549746,1.0,0.015133026364827658,-0.04827943072270369,1.0
ENSG00000179403,VWA1,0.06440461163005974,-0.21943195207542177,1.0,0.07436802124702008,0.04487501655141868,1.0,0.08474494764303489,0.28284201824728017,1.0
ENSG00000215915,ATAD3C,0.010169149204746274,0.06805549748291106,1.0,0.009730395303348422,-0.3219952002669153,1.0,0.015133026364827658,0.8073306599421208,1.0
ENSG00000160072,ATAD3B,0.07118404443322393,-0.23903408842881824,1.0,0.08687852949418233,0.2248321715674697,1.0,0.07869173709710382,-0.022744338615566573,1.0
ENSG00000197785,ATAD3A,0.050845746023731375,0.23304423252244177,1.0,0.04795694828078865,0.1634316269033267,1.0,0.027239447456689783,-0.7072425128876372,1.0
ENSG00000205090,TMEM240,0.001694858200791046,0.5826286703126691,1.0,0.0006950282359534587,-1.643923295154278,1.0,0.006053210545931063,2.6146855819997246,0.8553951825664012
ENSG00000160075,SSU72,0.2372801481107464,0.49817834851335796,1.0,0.1702819178085974,-0.301321632002165,0.9531483696249904,0.16041007946717317,-0.2228839531048865,1.0
ENSG00000228594,FNDC10,0.015253723807119413,0.6566292517564465,1.0,0.008340338831441503,-0.9434835770131853,0.9531483696249904,0.01815963163779319,0.9626088854200319,1.0
ENSG00000272106,AL691432.2,0.010169149204746274,0.3899835923702737,1.0,0.009730395303348422,0.26296730045424077,1.0,0.0030266052729655316,-0.7776318407790352,1.0
ENSG00000197530,MIB2,0.0847429100395523,0.6700915115630091,1.0,0.05490723064032323,-0.3880843907246878,0.9690317250081022,0.048425684367448506,-0.3202193897783898,1.0
ENSG00000189409,MMP23B,0.050845746023731375,0.1792729760814611,1.0,0.03683649650553331,-0.7716788423526504,0.5986584408655533,0.08474494764303489,1.0803491543485366,0.35767205152898573
ENSG00000248333,CDK11B,0.006779432803164184,0.4451251465627344,1.0,0.0055602258876276695,-0.2813532157695686,1.0,0.006053210545931063,0.4992083645797898,1.0
ENSG00000272004,FO704657.1,0.0,-0.4173713296873309,1.0,0.002085084707860376,1.356076704845723,1.0,0.0,0.6146855819997263,1.0
ENSG00000189339,SLC35E2B,0.03898173861819405,-0.2918404476034713,1.0,0.05282214593246286,0.49358022859565764,0.9531483696249904,0.03329265800262085,-0.44420810705384284,1.0
ENSG00000008128,CDK11A,0.005084574602373137,-1.5872963311296422,1.0,0.02085084707860376,1.1403480137902857,0.6941986777488574,0.015133026364827658,0.11218524147054243,1.0
ENSG00000215790,SLC35E2A,0.03898173861819405,-0.1543369238535366,1.0,0.04795694828078865,0.3978968805403502,1.0,0.030266052729655317,-0.4650416104710091,1.0
ENSG00000008130,NADK,0.0813531936379702,-0.05058899901570779,1.0,0.08479344478632196,0.013188991322714116,1.0,0.08777155291600042,0.1037236627223459,1.0
ENSG00000078369,GNB1,0.25253387191786586,-0.015101126482364391,1.0,0.26550078613422123,0.14937472737924762,1.0,0.21488897438055274,-0.270671852059152,1.0
ENSG00000169885,CALML6,0.001694858200791046,0.5826286703126691,1.0,0.002085084707860376,0.35607670484572296,1.0,0.0,0.2927574871123628,1.0
ENSG00000178821,TMEM52,0.0,-0.002333830408487003,1.0,0.0013900564719069174,0.941039205566879,1.0,0.0,1.0297230812785685,1.0
ENSG00000187730,GABRD,0.001694858200791046,0.997666169591513,1.0,0.0013900564719069174,-0.05896079443312097,1.0,0.0,0.6146855819997263,1.0
ENSG00000067606,PRKCZ,0.04915088782294033,0.3195942644788756,1.0,0.04309175062911444,0.047954409483391025,1.0,0.027239447456689783,-0.5869482791699259,1.0
ENSG00000162585,FAAP20,0.2033829840949255,0.38774974153807573,1.0,0.15568632485357475,-0.2647703315739651,1.0,0.15738347419420765,-0.08784651510260666,1.0
ENSG00000157933,SKI,0.04915088782294033,-0.18290607605030829,1.0,0.053517174168416316,-0.11340857845549746,1.0,0.07263852655117276,0.5170747853733038,0.9895297683381256
ENSG00000287356,AL590822.3,0.001694858200791046,0.5826286703126691,1.0,0.0013900564719069174,-0.6439232951542788,1.0,0.0030266052729655316,1.6146855819997263,1.0
ENSG00000116151,MORN1,0.003389716401582092,0.3602362489762214,1.0,0.0034751411797672932,-0.05896079443312097,1.0,0.0030266052729655316,0.6146855819997254,1.0
ENSG00000272420,AL513477.2,0.001694858200791046,1.582628670312669,1.0,0.0006950282359534587,-0.643923295154277,1.0,0.0,1.0297230812785685,1.0
ENSG00000157916,RER1,0.1186400740553732,-0.10051422434738999,1.0,0.12719016717948295,0.03414860995835989,1.0,0.1331706320104834,0.11785399155723386,1.0
ENSG00000157911,PEX10,0.022033156610283596,-0.19497890835088239,1.0,0.025021016494324512,-0.07832611930005218,1.0,0.03329265800262085,0.5557918929461572,1.0
ENSG00000149527,PLCH2,0.016948582007910457,-0.20586722449361794,1.0,0.022935931786464137,0.5366489504875434,1.0,0.012106421091862126,-0.5228179417502101,1.0
