Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000187634,SAMD11,0.20138186676955463,0.4285792264341688,0.42717716493136343,0.20973103631026796,0.6209132867137841,0.12228684569591161,0.09172486164357714,-1.1179774475044022,0.0004956216534260151,0.1537830254338998,-0.02748288680676536,1.0
ENSG00000188976,NOC2L,0.35916559743436033,-0.10575720121701937,0.9578494374476463,0.39086238585095395,0.05807547913624167,1.0,0.3894983255299725,0.05081558444799028,0.9473284129072034,0.35882705934576614,-0.0750495418156989,1.0
ENSG00000187961,KLHL17,0.08719627220949788,0.24603473846074353,0.8087425346351043,0.07898961107789314,0.05410032791582564,1.0,0.06912598268791321,-0.2339377910239211,0.7275727695182562,0.08055301332251893,0.16708963970674517,1.0
ENSG00000187583,PLEKHN1,0.07889186533240285,-0.8769797960461818,0.06676444724409863,0.10350362830896341,-0.4991716433730917,0.35195986982980443,0.20870729388466103,1.2185400870847003,1.5423182165563363e-05,0.051261008477966594,-1.2479478595720992,0.5050798767119307
ENSG00000187642,PERM1,0.004152203438547519,2.335469822042688,0.46317658368965187,0.0,-1.1006222668828176,0.9397205496136097,0.0,-1.1545033235295161,0.7857067404367748,0.007323001211138085,3.2545524809570834,0.8333693172686542
ENSG00000188290,HES4,0.9383979771117391,-0.23750013214217536,0.7230941187708148,1.0500170713975103,-0.037595783760887236,1.0,1.2229981552476952,0.31642863328564486,0.275159786471155,0.768915127169499,-0.49865375421633257,0.9798933332703863
ENSG00000187608,ISG15,0.8325167894287775,-1.1506297470566897,0.0002126087544833018,1.1671395981681796,-0.6703716736574656,0.030034664946338226,2.6892665957240083,1.396992646906743,8.997742542884276e-11,0.8934061477588464,-0.8983300364962322,0.5719795580640047
ENSG00000188157,AGRN,0.6186783123435803,-1.4772172725548702,3.6323766466244166e-07,1.0854262073979453,-0.6290494487927013,0.036196117020193576,2.503158180795011,1.4771524126396816,8.817461366352751e-13,0.8787601453365702,-0.7822341892966949,0.675872515084766
ENSG00000237330,RNF223,0.0,0.7505073213215319,1.0,0.0,-0.10062226688281761,1.0,0.001329345820921408,1.8454966764704839,0.6057696612398329,0.0,2.8395149816782412,1.0
ENSG00000131591,C1orf159,0.1370227134720681,-0.20577130124915088,0.8400757739494358,0.1457222135402511,-0.12052182432052172,0.9878344968055063,0.1861084149289971,0.4458892177612461,0.20126418130574,0.08787601453365702,-0.7546660490722941,0.8880886477859384
ENSG00000162571,TTLL10,0.006228305157821278,-0.7089242973157655,0.7258568860784494,0.006809449230852856,-0.8375878610490224,0.6859246970426337,0.015952149851056894,0.8454966764704839,0.45178333533088155,0.02929200484455234,1.7691256537868423,0.5719795580640047
ENSG00000186891,TNFRSF18,0.11626169627933051,0.5173081450285006,0.39775433372062013,0.11167496738598684,0.5195296623006396,0.3564851192919816,0.05583252447869913,-0.9376919344563683,0.014682280885081188,0.06590701090024277,-0.3384028105176027,1.0
ENSG00000186827,TNFRSF4,0.15363152722625817,0.19796629829275236,0.8186518789173568,0.1743219003098331,0.5355655571935127,0.22491934936942365,0.09837159074818418,-0.7070443465582952,0.04143836505633395,0.12449102058934744,-0.10430218292863502,1.0
