PC,Proportion.Variance.Explained
1,0.020255855102908556
2,0.007063033894559681
3,0.005714225778682982
4,0.004364318141271339
5,0.004103953637895036
6,0.0028841363153328664
7,0.002697552431256838
8,0.002083525596413801
9,0.0018754455118462098
10,0.0017249645899728128
