Feature,Normalized.Dispersion
ENSG00000187634,4.337835027729565
ENSG00000188976,-0.8077326226869253
ENSG00000187961,-0.5764870814892861
ENSG00000187583,-1.0871140461201145
ENSG00000187642,1.1613824710515757
ENSG00000188290,0.08098004552362043
ENSG00000187608,12.645723989483157
ENSG00000188157,2.3095696576588196
ENSG00000237330,nan
ENSG00000131591,-0.113501739067538
ENSG00000162571,0.08797197174883416
ENSG00000186891,1.1905504386392503
ENSG00000186827,1.1573866035330822
ENSG00000078808,-1.2113769570144215
ENSG00000176022,2.474257370760429
ENSG00000184163,-0.43116365237858567
ENSG00000160087,-0.384250723702541
ENSG00000162572,3.4581787199785348
ENSG00000131584,-0.48921339367056954
ENSG00000169972,-0.533307988090806
ENSG00000127054,-0.5388406086228096
ENSG00000224051,-0.6243977582674877
ENSG00000169962,7.342394456255548
ENSG00000107404,2.303535458599502
ENSG00000162576,2.7875268736886545
ENSG00000175756,0.8058789837547482
ENSG00000221978,-0.9460577158545966
ENSG00000235098,-1.2289851742462736
ENSG00000205116,4.5278256269495225
ENSG00000179403,1.7313197263524798
ENSG00000215915,-1.6554964044382392
ENSG00000205090,0.7021520448205811
ENSG00000160075,-1.5281471879650006
ENSG00000228594,-0.488849710790853
ENSG00000197530,-0.4448160918293859
ENSG00000189409,4.154772209555924
ENSG00000248333,0.11117354362471937
ENSG00000189339,-2.073701976904317
ENSG00000215790,4.609553066549746
ENSG00000008130,-1.019085145435263
ENSG00000078369,-1.1132355654068213
ENSG00000169885,-1.0150812398869338
ENSG00000178821,-1.363836283106056
ENSG00000142609,-1.842179528182393
ENSG00000187730,0.10489952959091042
ENSG00000067606,-1.028935503224912
ENSG00000162585,-0.37091098448365656
ENSG00000157933,1.4695168598970696
ENSG00000116151,-1.6550396816584316
ENSG00000157916,-1.0501278866896204
ENSG00000157911,-0.5746019049106512
ENSG00000149527,1.9410861525511611
ENSG00000157881,-0.9330205605725521
ENSG00000197921,-3.9735822560989926
ENSG00000157873,-0.07265681392785527
ENSG00000157870,8.255206179186173
ENSG00000142606,nan
ENSG00000142611,-2.5882797203845285
ENSG00000130762,0.1259858923255418
ENSG00000162591,5.310902100176177
ENSG00000158109,-0.8144966166196764
ENSG00000116213,-1.9666640418209314
ENSG00000078900,0.06372561747963404
ENSG00000235169,-0.5194844496571372
ENSG00000130764,-0.9344569020142843
ENSG00000116198,-0.4127521308098575
ENSG00000169598,-0.40133834646311245
ENSG00000198912,4.618444092854319
ENSG00000196581,-1.484353173480542
ENSG00000131697,2.42380149779838
ENSG00000069424,0.44072827359434524
ENSG00000116254,3.5732684052222354
ENSG00000158286,0.3039471746596118
ENSG00000116237,0.6092462769166367
ENSG00000173673,0.3466228272175366
ENSG00000158292,1.2831061299163595
ENSG00000097021,-0.684013516985872
ENSG00000069812,-0.266562566469454
ENSG00000187017,-2.1796486738534187
ENSG00000215788,1.5740781575655332
ENSG00000171680,1.4281887221492917
ENSG00000162408,-0.19848991208151084
ENSG00000173662,-1.0556307394843754
ENSG00000204859,0.7021597082935073
ENSG00000162413,4.1225383436661955
ENSG00000116273,0.28578963363097
ENSG00000041988,-0.8754640022161513
ENSG00000007923,-0.7266290328807514
ENSG00000171735,-0.16387285234113433
ENSG00000049245,-0.5334904847758272
ENSG00000049246,0.3313488045641912
ENSG00000049247,-0.2518212464823544
ENSG00000049249,0.34960213814020047
ENSG00000116288,-1.0141257856169612
ENSG00000116285,2.3698357412065274
ENSG00000162426,-0.6418605270160082
ENSG00000142599,-0.5269925231938623
ENSG00000074800,-0.36415413071780517
ENSG00000131686,nan
ENSG00000197241,nan
ENSG00000142583,1.8179003572617198
ENSG00000180758,-0.9557126693923615
ENSG00000049239,6.7987116978262
ENSG00000171621,3.5180099895440704
ENSG00000171612,0.964099954208767
ENSG00000188807,-1.2927871183981372
ENSG00000171608,0.3947387496663235
ENSG00000171603,-1.4853597241149912
ENSG00000178585,-0.32486795484134945
ENSG00000162441,-1.2964703988570745
ENSG00000173614,0.5363179338149953
ENSG00000162444,2.818668219591608
ENSG00000130939,-0.4820850356087158
